name,price,cup,calorie
單品美式,70,M,52
單品拿鐵,80,M,215
經典美式,45,L,52
經典拿鐵,55,L,215
重烘焙拿鐵,55,L,184
焦糖風味拿鐵,25,L,267
濃厚系冰磚咖啡,25,L,43
西西里咖啡,30,L,43
抹茶拿鐵,55,L,209
黑豆玄米抹茶拿鐵,55,L,218
焦糖珍珠Q奶,65,XL,365
巧克力,50,L,267
農林仙女醇奶茶,65,XL,250
德傳黑烏龍醇奶茶,85,XL,160
德傳普洱龍醇奶茶,85,XL,160
農林仙女紅茶,45,XL,100
德傳黑烏龍茶,70,XL,10
德傳普洱茶,70,XL,10
椪柑百香青茶,65,XL,209
OREO酷冰沙(咖啡),60,L,261
OREO酷冰沙(牛奶),60,L,246
芒果牛奶酷冰沙,65,L,207
粉紅蜜桃蘋果酷冰沙,65,L,306
薄荷巧克力酷冰沙,65,L,246
立頓水果氣泡酷冰沙,75,L,180
夏日檸檬飲,65,XL,75
